id,first_name,last_name,phone_number,job_role,gender,language
1,Babs,Detoc,892-191-5995,Procurement Manager,Female,Arabic
2,Quintina,Nijs,755-532-4574,Cashier,Male,Arabic
3,Janna,Jarmyn,409-144-7255,Cashier,Male,Arabic
4,Padraic,Flory,864-118-7917,Owner,Male,Arabic
5,Katina,Fielden,486-712-5715,Procurement Manager,Male,English
6,Dorisa,Jopp,775-424-6937,Chef,Female,Arabic
7,Laureen,Longbothom,116-122-5046,Owner,Male,Arabic
8,Andreas,Winny,142-206-4833,Owner,Male,English
9,Sorcha,Gilks,820-169-2178,Owner,Male,English
10,Wileen,Akehurst,409-468-2556,Chef,Male,English
11,Ainslie,Wanne,639-591-1934,Owner,Male,Arabic
12,Marven,Gellately,364-366-9870,Owner,Male,English
13,Serene,Rotchell,206-417-5559,Cashier,Male,English
14,Yolanda,Skerritt,772-840-6920,Owner,Female,Arabic
15,Nadeen,Sanbroke,795-609-8547,Procurement Manager,Male,English
16,Susannah,Yannoni,323-738-5167,Owner,Female,Arabic
17,Jenni,Curnow,925-373-7489,Cashier,Male,English
18,Carla,Folbige,999-473-7072,Cashier,Female,Arabic
19,Ira,Beer,800-134-4385,Owner,Male,Arabic
20,Mariann,Maslen,769-440-6101,Owner,Male,English
21,Siouxie,Simmings,612-562-9588,Procurement Manager,Female,Arabic
22,Konstantin,Dalgliesh,172-656-6390,Owner,Male,Arabic
23,Brittaney,Mattiato,153-428-7813,Chef,Male,English
24,Anett,Partlett,535-555-0251,Procurement Manager,Male,Arabic
25,Lucina,Timmermann,573-702-6033,Procurement Manager,Female,Arabic
26,Constantia,Braddick,605-165-7155,Cashier,Male,English
27,Holmes,Peverell,217-962-2307,Owner,Female,Arabic
28,Dulcy,Marti,313-578-3735,Procurement Manager,Female,Arabic
29,Holly-anne,Trebilcock,772-914-2103,Cashier,Male,Arabic
30,Mirabel,Hewes,341-531-0832,Cashier,Male,Arabic
31,Andriana,Zelner,309-408-5843,Procurement Manager,Female,English
32,Donal,Waiting,506-612-2006,Owner,Female,Arabic
33,Stirling,Joderli,544-861-0252,Chef,Female,English
34,Mariette,Darlaston,201-510-4126,Chef,Female,English
35,Jillene,Bernardotti,391-830-8326,Cashier,Female,English
36,Madge,Seivertsen,740-509-6144,Owner,Male,Arabic
37,Willie,Giovanetti,657-457-2847,Procurement Manager,Female,Arabic
38,Abigail,Cherry,956-120-7128,Chef,Female,English
39,Brenn,Goggen,702-590-2858,Owner,Female,Arabic
40,Janaye,Bayston,908-898-9443,Procurement Manager,Male,English
41,Allister,Brosius,279-810-5450,Owner,Male,English
42,Neel,Shorrock,520-535-9646,Cashier,Male,Arabic
43,Celinda,Middleweek,912-868-7861,Owner,Male,English
44,Lissie,Dossett,113-643-3212,Cashier,Male,Arabic
45,Angelia,Reddy,480-980-8043,Procurement Manager,Female,English
46,Ramsey,Byrne,560-150-0535,Cashier,Male,Arabic
47,Angelico,Hooks,145-350-4359,Chef,Male,Arabic
48,Dyanna,Pilipyak,444-787-0963,Procurement Manager,Female,English
49,Allina,Schulken,113-662-0964,Owner,Male,Arabic
50,Wanda,Swaton,245-518-7988,Owner,Female,English
